NO.,POC ID,POC NAME,REGION,LOCATION,BDR NAME ,,,,
146,0010Y00001QK37tQAD,ITALIAN PUB,SOUTH,PHINE,CHESCO KIVEMBELE,,,,
147,0010Y00001QK38bQAD,GOMBE BAR,SOUTH,UYOLE,SAKINA MKETO,,,,
148,0010Y00001QK38DQAT,SIDE BOY GROCERY,SOUTH,UYOLE,SAKINA MKETO,,,,
149,0010Y00001QK32lQAD,KIBOSHO SHINE,SOUTH,SONGWE,CHESCO KIVEMBELE,,,,
150,0010Y00001QK38MQAT,IGAWILO PUB,SOUTH,UYOLE,SAKINA MKETO,,,,
151,0010Y00001QK38RQAT,MASOKO BAR,SOUTH,UYOLE,SAKINA MKETO,,,,
152,0010Y00001QK5EUQA1,WHITE ROSE BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
153,0010Y00001QK5ExQAL,VALILE HOTEL,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
154,0010Y00001QK5EZQA1,NEW ADAM BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
155,0010Y00001QK5EzQAL,NEGRO PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
156,0010Y00001QK5F0QAL,NEGRO LODGE & BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
157,0010Y00001QK5F1QAL,NURU PUB,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
158,0010Y00001QK5F3QAL,NURU INN BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
159,0010Y00001QK5FAQA1,LUSAKA BAR,SOUTH,IYUNGA,HAMIS CHANG'A,,,,
160,0010Y00001QK5FFQA1,DOMMY GROCERY,SOUTH,AIRPORT,CHESCO KIVEMBELE,,,,
161,0010Y00001QK5FHQA1,BALOON BAR,SOUTH,AIRPORT,CHESCO KIVEMBELE,,,,
162,0010Y00001QK5FKQA1,MGAMIE PUB,SOUTH,AIRPORT,CHESCO KIVEMBELE,,,,
163,0010Y00001QK5GSQA1,NEGELO BAR,SOUTH,KABWE,CHESCO KIVEMBELE,,,,
164,0010Y00001QK5FOQA1,THE TWO B'S,SOUTH,MAMA JOHN,SAKINA MKETO,,,,
165,0010Y00001QK5FQQA1,TUMAINI LODGE,SOUTH,ILOMBA,SAKINA MKETO,,,,
166,0010Y00001QK5GjQAL,KING LEADERS HOTEL,SOUTH,JAKARANDA,HAMIS CHANG'A,,,,
167,0010Y00001QK5EXQA1,COMPUTER BAR,SOUTH,MBALIZI,HAMIS CHANG'A,,,,
168,0010Y00001QK5GrQAL,KAREMBU,SOUTH,SOKO MATOLA,HAMIS CHANG'A,,,,
169,0010Y00001Vy4NfQAJ,MINYARANI BAR,SOUTH,TRM,MARY MUSHI,,,,
170,0010Y00001Vy5D0QAJ,HOLIDAY BAR,SOUTH,VETA,SAIDI ZANI,,,,
171,0010Y00001QK34WQAT,BS MAKONDEKO PUB,SOUTH,KALOBE,HAMIS CHANG'A,,,,
172,0010Y00001VVAm7QAH,MAJOSA PUB,SOUTH,KATUMBA,PRISCUS KIMARIO,,,,
173,0010Y00001VVO7DQAX,NEW KIVANGA PUB,SOUTH,KK,PRISCUS KIMARIO,,,,
174,0010Y00001VUxdLQAT,KIVANGA BAR STAND,SOUTH,STAND,PRISCUS KIMARIO,,,,
175,0010Y00001VVAbkQAH,BINGWA GROCERY/REBECCA/CHECK LIGHT,SOUTH,USHIRIKA,PRISCUS KIMARIO,,,,
176,0010Y00001VUxFiQAL,MWAKYOMA BAR&GUEST HOUSE,SOUTH,TOWN,PRISCUS KIMARIO,,,,
177,0010Y00001VVAf6QAH,UNENAMWA INN BAR,SOUTH,TOWN,PRISCUS KIMARIO,,,,
178,0010Y00001VVbrcQAD,MSM PUB,SOUTH,TOWN,PRISCUS KIMARIO,,,,
179,0010Y00001Vy4yxQAB,PUB LATINO,SOUTH,IPOGOLO,SAID ZANI,,,,
180,0010Y00001YW27tQAD,MUHANGA BAR,SOUTH,ILULA,SAID ZANI,,,,
181,0010Y00001YW2B7QAL,MKITA BAR,SOUTH,RUAHA MBUYUNI,SAID ZANI,,,,
182,0010Y00001YW2YfQAL,HILTOP BAR,SOUTH,RUAHA MBUYUNI,SAID ZANI,,,,
183,0010Y00001YW2YkQAL,GEZA BAR,SOUTH,RUAHA MBUYUNI,SAID ZANI,,,,
184,0010Y00001Vy4D6QAJ,PARIS BAR,SOUTH,TOWN,SAID ZANI,,,,
185,0010Y00001Vy5D0QAJ,HOLIDAY BAR,SOUTH,TOWN,SAID ZANI,,,,
186,0010Y00001Vy4ynQAB,MANYARA BAR,SOUTH,TOWN,SAID ZANI,,,,
187,0010Y00001Vy563QAB,MIAMI BAR,SOUTH,TOWN,SAID ZANI,,,,
188,0010Y00001Vy5DAQAZ,SHINE PUB,SOUTH,TOWN,SAID ZANI,,,,
189,0010Y00001Vy55tQAB,BLACK AND WHITE BAR,SOUTH,TOWN,MARRY MUSHI,,,,
190,0010Y00001Vy46JQAR,MARKET VIEW BAR,SOUTH,TOWN,MARRY MUSHI,,,,
191,0010Y00001Vy4NfQAJ,MINYAARANI  BAR,SOUTH,TOWN,MARRY MUSHI,,,,
192,0010Y00001Vy5UuQAJ,C2C BAR,SOUTH,TOWN,MARRY MUSHI,,,,
193,0010Y00001Vy4IoQAJ,CCM COMPLEX,SOUTH,TOWN,MARRY MUSHI,,,,
194,0010Y00001VxnTXQAZ,OVER THE TOP BAR,SOUTH,MAFINGA,HANCE MGAYA,,,,
195,0010Y00001VWtxYQAT,LUPONDO BAR,SOUTH,MAFINGA,HANCE MGAYA,,,,
196,0010Y00001VxnNuQAJ,KWELU BAR,SOUTH,MAFINGA,HANCE MGAYA,,,,
197,0011i00000R3IE9AAN,THE PRINCE BAR,SOUTH,MAFINGA,HANCE MGAYA,,,,
198,0010Y00001VxnnwQAB,USILILO BAR,SOUTH,MAFINGA,HANCE MGAYA,,,,
199,0010Y00001VTnctQAD,R GROCERY,SOUTH,UWANJA WA FISI,EVANCE ALOYCE,,,,
200,0010Y00001VTnbRQAT,KALENGA BAR,SOUTH,MASASI,EVANCE ALOYCE,,,,
201,0010Y00001VTngGQAT,KIBO BAR,SOUTH,MASASI,EVANCE ALOYCE,,,,
202,0010Y00001VTmEzQAL,KILWA PM RESORT GUEST &RESTRAURANT (MIWA),SOUTH,KILWA,FRIDOLINE MASHALO,,,,
203,0010Y00001VTnhEQAT,BR NIGHT PARK,SOUTH,MASASI,EVANCE ALOYCE,,,,
204,0010Y00001VTnnvQAD,JUNCTION PUB,SOUTH,NDANDA,EVANCE ALOYCE,,,,
205,0010Y00001VTjoEQAT,BIASHARA CLUB,SOUTH,TOWN,FRIDOLINE MASHALO,,,,
206,0010Y00001VTnq7QAD,MKANJERA PUB,SOUTH,MAHUTA,EVANCE ALOYCE,,,,
207,0010Y00001VTo6ZQAT,POLICE CANTEEN TANDAHIMBA,SOUTH,TANDAHIMBA,EVANCE ALOYCE,,,,
208,0010Y00001VToDAQA1,MNARANI LODGE&BAR,SOUTH,TANDAHIMBA,EVANCE ALOYCE,,,,
209,0010Y00001VToODQA1,GALAX PUB,SOUTH,TANDAHIMBA,EVANCE ALOYCE,,,,
210,0010Y00001VTjnkQAD,CHILLAX - CALFONIA BAR,SOUTH,TOWN,FRIDOLINE MASHALO,,,,
211,0010Y00001VToT7QAL,ADAMU VIAZI PUB,SOUTH,MASASI,EVANCE ALOYCE,,,,
212,0011n00001pt7kUAAQ,ZURICH PUB,SOUTH,NACHINGWEA,FRIDOLINE MASHALO,,,,
213,0010Y00001StbbtQAB,SHANGANI BEACH PUB,SOUTH,TOWN,EVANCE ALOYCE,,,,
214,0010Y00001StbalQAB,CECCY BAR,SOUTH,TOWN,EVANCE ALOYCE,,,,
215,0010Y00001Stba2QAB,WHATSUP PUB,SOUTH,DANGOTE,EVANCE ALOYCE,,,,
216,0010Y00001StbcSQAR,BLANTYRE PUB,SOUTH,TOWN,EVANCE ALOYCE,,,,
217,0010Y00001VTjoJQAT,GYMKANA BAR LINDI,SOUTH,TOWN,FRIDOLINE MASHALO,,,,
218,0010Y00001StbdVQAR,KUMEKUCHA BAR,SOUTH,TOWN,EVANCE ALOYCE,,,,
219,0010Y00001StbflQAB,THE DON PUB,SOUTH,ZIWANI,EVANCE ALOYCE,,,,
220,0010Y00001VTmO6QAL,Y2K PUB,SOUTH,NACHINGWEA,FRIDOLINE MASHALO,,,,
221,0010Y00001QK684QAP,LAMINA BAR,NORTH EAST,MOSHI CITY CENTRE,FLORA SARIAH,,,,
222,0010Y00001QK67XQAD,POLICE MESS,NORTH EAST,MOSHI CITY CENTRE,FLORA SARIAH,,,,
223,0010Y00001QK67JQAD,MAMA PHILLIPS,NORTH EAST,MOSHI CITY CENTRE,FLORA SARIAH,,,,
224,0010Y00001QK67mQAD,EAST AFRICA BAR,NORTH EAST,MOSHI CITY CENTRE,FLORA SARIAH,,,,
225,0010Y00001KQK6C2QAL,SAFARI BAR ,NORTH EAST,BOMA N'GOMBE,ESTON MBILINYI,,,,
226,0010Y00001QK6BzQAL,CROWN PUB,NORTH EAST,BOMA N'GOMBE,ESTON MBILINYI,,,,
227,0010Y00001QK6AOQAI,FM BAR,NORTH EAST,BOMA N'GOMBE,ESTON MBILINYI,,,,
228,0010Y00001QK4tDQAD,FIRST CHOICE,NORTH EAST,BOMA N'GOMBE,ESTON MBILINYI,,,,
229,0010Y00001QK6AIQAL,BIKERS BAR,NORTH EAST,MOSHI CITY CENTRE,TUMAINI TARIMO,,,,
230,0011i00000AJHmXAAV,AMUZZ BAR,NORTH EAST,MOSHI CITY CENTRE,TUMAINI TARIMO,,,,
231,0010Y000001QK6AnQAL,VEGAS SPORT BAR ,NORTH EAST,MOSHI CITY CENTRE,TUMAINI TARIMO,,,,
232,0010Y00001QK4wJQAT,BARANCO BAR,NORTH EAST,MOSHI CITY CENTRE,TUMAINI TARIMO,,,,
233,0010Y00001QK65JQAT,PICNIC BAR,NORTH EAST,ARUSHA CITY CENTRE,CATHERINE LYAKURWA,,,,
234,0010Y000001QK65KQAT,XO LOUNGE,NORTH EAST,ARUSHA CITY CENTRE,CATHERINE LYAKURWA,,,,
235,0010Y00001QK64VQAT,KENNY GARDEN,NORTH EAST,ARUSHA CITY CENTRE,CATHERINE LYAKURWA,,,,
236,0010Y00001QK2m9QAD,KIJENGE LOUNGE,NORTH EAST,ARUSHA CITY CENTRE,EMMY KAWICHE,,,,
237,0010Y00001QK6511QAD,GOOOD HOPE,NORTH EAST,ARUSHA CITY CENTRE,EMMY KAWICHE,,,,
238,0010Y00001QK647QAD,YMCA BAR,NORTH EAST,ARUSHA CITY CENTRE,EMMY KAWICHE,,,,
239,0010Y00001QK63WQAT,SUMNI BAR,NORTH EAST,TENGERU,AGATH SWAI,,,,
240,0010Y00001QK63jQAD,TANGO BAR,NORTH EAST,USA,AGATH SWAI,,,,
241,0010Y00001QInXdQAL,SONGAMBELE BAR,NORTH EAST,MERERANI,AGATH SWAI,,,,
242,0010Y00001QK61UQAT,BONDENI BAR,NORTH EAST,MERERANI,AGATH SWAI,,,,
243,001000001QK4dFQAT,HH CLASSIC BAR,NORTH EAST,ARUSHA CITY CENTRE,NAISHIE MOLLEL,,,,
